benchmark,layer,status,final_pearson,final_unceiled_pearson,final_r2,final_unceiled_r2,timestamp,results_file
NSDV2Shared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDV2Shared.pkl
NSDV2Shared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDV2Shared.pkl
NSDV3Shared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDV3Shared.pkl
NSDV3Shared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDV3Shared.pkl
NSDV3Shared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDV3Shared.pkl
NSDV3Shared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDV3Shared.pkl
NSDV3Shared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDV3Shared.pkl
NSDV3Shared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDV3Shared.pkl
NSDV4Shared,model.visual.blocks.0,ok,0.843646938424615,0.4837507059501699,0.1514178051509809,0.08383122441770766,2026-03-15T22:05:42.551292,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDV4Shared.pkl
NSDV4Shared,model.visual.blocks.6,ok,1.1158097200873924,0.641550809657027,0.3727685962076203,0.20506805244967863,2026-03-15T22:22:57.600690,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDV4Shared.pkl
NSDV4Shared,model.visual.blocks.12,ok,1.132267307897924,0.6591231820560283,0.40865899936792144,0.22702456275950533,2026-03-15T22:32:57.909988,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDV4Shared.pkl
NSDV4Shared,model.visual.blocks.18,ok,1.1388502614990503,0.6634134413163821,0.4112374943432723,0.23116881582872179,2026-03-15T22:42:37.435659,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDV4Shared.pkl
NSDV4Shared,model.visual.blocks.24,ok,1.1234782350865342,0.652831058341382,0.39089295583314715,0.21862716317873296,2026-03-15T22:52:35.057866,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDV4Shared.pkl
NSDV4Shared,model.visual.blocks.26,ok,0.48901734973862254,0.26878871346564676,-0.19942858779122036,-0.10643671407146993,2026-03-15T23:02:24.632052,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDV4Shared.pkl
NSDLateralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDLateralShared.pkl
NSDLateralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDLateralShared.pkl
NSDLateralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDLateralShared.pkl
NSDLateralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDLateralShared.pkl
NSDLateralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDLateralShared.pkl
NSDLateralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDLateralShared.pkl
NSDVentralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDVentralShared.pkl
NSDVentralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDVentralShared.pkl
NSDVentralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDVentralShared.pkl
NSDVentralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDVentralShared.pkl
NSDVentralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDVentralShared.pkl
NSDVentralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDVentralShared.pkl
NSDParietalShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDParietalShared.pkl
NSDParietalShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDParietalShared.pkl
NSDParietalShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDParietalShared.pkl
NSDParietalShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDParietalShared.pkl
NSDParietalShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDParietalShared.pkl
NSDParietalShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDParietalShared.pkl
NSDHighLateralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDHighLateralShared.pkl
NSDHighLateralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDHighLateralShared.pkl
NSDHighLateralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDHighLateralShared.pkl
NSDHighLateralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDHighLateralShared.pkl
NSDHighLateralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDHighLateralShared.pkl
NSDHighLateralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDHighLateralShared.pkl
NSDHighVentralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDHighVentralShared.pkl
NSDHighVentralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDHighVentralShared.pkl
NSDHighVentralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDHighVentralShared.pkl
NSDHighVentralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDHighVentralShared.pkl
NSDHighVentralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDHighVentralShared.pkl
NSDHighVentralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDHighVentralShared.pkl
NSDHighParietalShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDHighParietalShared.pkl
NSDHighParietalShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDHighParietalShared.pkl
NSDHighParietalShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDHighParietalShared.pkl
NSDHighParietalShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDHighParietalShared.pkl
NSDHighParietalShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDHighParietalShared.pkl
NSDHighParietalShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDHighParietalShared.pkl
NSDMidLateralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDMidLateralShared.pkl
NSDMidLateralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDMidLateralShared.pkl
NSDMidLateralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDMidLateralShared.pkl
NSDMidLateralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDMidLateralShared.pkl
NSDMidLateralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDMidLateralShared.pkl
NSDMidLateralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDMidLateralShared.pkl
NSDMidVentralShared,model.visual.blocks.0,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDMidVentralShared.pkl
NSDMidVentralShared,model.visual.blocks.6,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDMidVentralShared.pkl
NSDMidVentralShared,model.visual.blocks.12,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDMidVentralShared.pkl
NSDMidVentralShared,model.visual.blocks.18,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDMidVentralShared.pkl
NSDMidVentralShared,model.visual.blocks.24,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDMidVentralShared.pkl
NSDMidVentralShared,model.visual.blocks.26,missing,,,,,,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDMidVentralShared.pkl
NSDMidParietalShared,model.visual.blocks.0,ok,0.8191752097154286,0.4285869934493388,0.11441364463297816,0.056979392087301586,2026-03-16T01:30:48.984282,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.0_NSDMidParietalShared.pkl
NSDMidParietalShared,model.visual.blocks.6,ok,1.1458327331974951,0.6116782168524764,0.34869639036258016,0.17566392233288758,2026-03-16T02:03:52.473774,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.6_NSDMidParietalShared.pkl
NSDMidParietalShared,model.visual.blocks.12,ok,1.1859771751701444,0.6411865966780016,0.4059897720303426,0.20758870506053584,2026-03-16T02:24:50.178229,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.12_NSDMidParietalShared.pkl
NSDMidParietalShared,model.visual.blocks.18,ok,1.211703716829292,0.6482381082535634,0.4171636324409012,0.21410555195555214,2026-03-16T02:53:30.629684,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.18_NSDMidParietalShared.pkl
NSDMidParietalShared,model.visual.blocks.24,ok,1.2061507238411773,0.6423644034222276,0.403764353383732,0.20834168629786998,2026-03-16T03:20:02.674535,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.24_NSDMidParietalShared.pkl
NSDMidParietalShared,model.visual.blocks.26,ok,0.47373940108104257,0.23957096598742428,-0.25263661140249427,-0.12526247245990058,2026-03-16T03:49:20.722563,/home/users/carsonml/cs375/bbscore_public/slurm_runs/qwen3_visual_sweep_20260315_135909/results/qwen3_vl_8b_img_model.visual.blocks.26_NSDMidParietalShared.pkl
